id,sender_id,receiver_id,post_type,content,visibility,time_posted
1,12,62,Message,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",false,2021-07-06 09:58:21
2,684,15,Message,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",true,2004-04-12 00:30:50
3,532,94,Message,Proin at turpis a pede posuere nonummy.,true,2013-01-01 10:47:07
4,229,43,Message,Proin eu mi. Nulla ac enim.,true,2006-06-18 06:36:55
5,181,80,Story,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",true,2005-07-01 09:18:20
6,874,19,Story,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",false,2016-02-14 01:15:56
7,149,81,Story,In congue.,true,2016-02-25 03:36:40
8,275,57,Story,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,true,2023-07-15 00:01:21
9,669,53,Story,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",false,2013-09-03 21:30:11
10,510,59,Message,In congue. Etiam justo.,true,2020-09-19 15:27:13
11,423,68,Message,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",false,2012-03-25 23:29:06
12,793,7,Story,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",false,2006-07-20 14:48:56
13,891,69,Story,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,true,2014-11-22 16:04:56
14,60,94,Message,In sagittis dui vel nisl. Duis ac nibh.,true,2022-07-08 15:23:57
15,735,28,Message,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,false,2018-05-12 07:58:49
